X, Y, Psi
0.09000, 0.21000, 1.03709
0.11000, 0.21000, 1.23384
0.13000, 0.21000, 1.41112
0.15000, 0.21000, 1.56615
0.17000, 0.21000, 1.69646
0.19000, 0.21000, 1.79997
0.21000, 0.21000, 1.87507
0.23000, 0.21000, 1.92065
0.25000, 0.21000, 1.93596
0.27000, 0.21000, 1.92071
0.29000, 0.21000, 1.87517
0.31000, 0.21000, 1.80006
0.33000, 0.21000, 1.69654
0.35000, 0.21000, 1.56624
0.37000, 0.21000, 1.41126
0.39000, 0.21000, 1.23405
0.41000, 0.21000, 1.03739
0.43000, 0.21000, 0.82434
0.45000, 0.21000, 0.59826
0.47000, 0.21000, 0.36274
0.49000, 0.21000, 0.12154
0.51000, 0.21000, -0.12154
0.53000, 0.21000, -0.36274
0.55000, 0.21000, -0.59826
0.57000, 0.21000, -0.82434
0.59000, 0.21000, -1.03739
0.61000, 0.21000, -1.23405
0.63000, 0.21000, -1.41126
0.65000, 0.21000, -1.56624
0.67000, 0.21000, -1.69654
0.69000, 0.21000, -1.80006
0.71000, 0.21000, -1.87517
0.73000, 0.21000, -1.92071
0.75000, 0.21000, -1.93596
0.77000, 0.21000, -1.92065
0.79000, 0.21000, -1.87507
0.81000, 0.21000, -1.79997
0.83000, 0.21000, -1.69646
0.85000, 0.21000, -1.56615
0.87000, 0.21000, -1.41112
0.89000, 0.21000, -1.23384
0.91000, 0.21000, -1.03709
0.93000, 0.21000, -0.82398
0.95000, 0.21000, -0.59792
0.97000, 0.21000, -0.36247
0.99000, 0.21000, -0.12122
1.00000, 0.21000, -0.00000
0.00000, 0.23000, 0.00000
0.01000, 0.23000, 0.12416
0.03000, 0.23000, 0.37129
0.05000, 0.23000, 0.61246
0.07000, 0.23000, 0.84401
0.09000, 0.23000, 1.06230
0.11000, 0.23000, 1.26383
0.13000, 0.23000, 1.44543
0.15000, 0.23000, 1.60422
0.17000, 0.23000, 1.73770
0.19000, 0.23000, 1.84373
0.21000, 0.23000, 1.92065
0.23000, 0.23000, 1.96734
0.25000, 0.23000, 1.98303
0.27000, 0.23000, 1.96741
0.29000, 0.23000, 1.92076
0.31000, 0.23000, 1.84382
0.33000, 0.23000, 1.73778
0.35000, 0.23000, 1.60432
0.37000, 0.23000, 1.44556
0.39000, 0.23000, 1.26405
0.41000, 0.23000, 1.06261
0.43000, 0.23000, 0.84437
0.45000, 0.23000, 0.61281
0.47000, 0.23000, 0.37156
0.49000, 0.23000, 0.12449
0.51000, 0.23000, -0.12449
0.53000, 0.23000, -0.37156
0.55000, 0.23000, -0.61281
0.57000, 0.23000, -0.84437
0.59000, 0.23000, -1.06261
0.61000, 0.23000, -1.26405
0.63000, 0.23000, -1.44556
0.65000, 0.23000, -1.60432
0.67000, 0.23000, -1.73778
0.69000, 0.23000, -1.84382
0.71000, 0.23000, -1.92076
0.73000, 0.23000, -1.96741
0.75000, 0.23000, -1.98303
0.77000, 0.23000, -1.96734
0.79000, 0.23000, -1.92065
0.81000, 0.23000, -1.84373
0.83000, 0.23000, -1.73770
0.85000, 0.23000, -1.60422
0.87000, 0.23000, -1.44543
0.89000, 0.23000, -1.26383
0.91000, 0.23000, -1.06230
0.93000, 0.23000, -0.84401
0.95000, 0.23000, -0.61246
0.97000, 0.23000, -0.37129
0.99000, 0.23000, -0.12416
1.00000, 0.23000, -0.00000
0.00000, 0.25000, 0.00000
0.01000, 0.25000, 0.12515
0.03000, 0.25000, 0.37425
0.05000, 0.25000, 0.61734
0.07000, 0.25000, 0.85074
0.09000, 0.25000, 1.07077
0.11000, 0.25000, 1.27390
0.13000, 0.25000, 1.45695
0.15000, 0.25000, 1.61701
0.17000, 0.25000, 1.75156
0.19000, 0.25000, 1.85842
0.21000, 0.25000, 1.93596
0.23000, 0.25000, 1.98303
0.25000, 0.25000, 1.99883
0.27000, 0.25000, 1.98309
0.29000, 0.25000, 1.93607
0.31000, 0.25000, 1.85851
0.33000, 0.25000, 1.75163
0.35000, 0.25000, 1.61710
0.37000, 0.25000, 1.45709
0.39000, 0.25000, 1.27413
0.41000, 0.25000, 1.07107
0.43000, 0.25000, 0.85111
0.45000, 0.25000, 0.61769
0.47000, 0.25000, 0.37452
0.49000, 0.25000, 0.12548
0.51000, 0.25000, -0.12548
0.53000, 0.25000, -0.37452
0.55000, 0.25000, -0.61769
0.57000, 0.25000, -0.85111
0.59000, 0.25000, -1.07107
0.61000, 0.25000, -1.27413
0.63000, 0.25000, -1.45709
0.65000, 0.25000, -1.61710
0.67000, 0.25000, -1.75163
0.69000, 0.25000, -1.85851
0.71000, 0.25000, -1.93607
0.73000, 0.25000, -1.98309
0.75000, 0.25000, -1.99883
0.77000, 0.25000, -1.98303
0.79000, 0.25000, -1.93596
0.81000, 0.25000, -1.85842
0.83000, 0.25000, -1.75156
0.85000, 0.25000, -1.61701
0.87000, 0.25000, -1.45695
0.89000, 0.25000, -1.27390
0.91000, 0.25000, -1.07077
0.93000, 0.25000, -0.85074
0.95000, 0.25000, -0.61734
0.97000, 0.25000, -0.37425
0.99000, 0.25000, -0.12515
1.00000, 0.25000, -0.00000
0.00000, 0.27000, 0.00000
0.01000, 0.27000, 0.12417
0.03000, 0.27000, 0.37130
0.05000, 0.27000, 0.61248
0.07000, 0.27000, 0.84404
0.09000, 0.27000, 1.06233
0.11000, 0.27000, 1.26387
0.13000, 0.27000, 1.44547
0.15000, 0.27000, 1.60428
0.17000, 0.27000, 1.73776
0.19000, 0.27000, 1.84378
0.21000, 0.27000, 1.92071
0.23000, 0.27000, 1.96741
0.25000, 0.27000, 1.98309
0.27000, 0.27000, 1.96747
0.29000, 0.27000, 1.92082
0.31000, 0.27000, 1.84387
0.33000, 0.27000, 1.73784
0.35000, 0.27000, 1.60437
0.37000, 0.27000, 1.44561
0.39000, 0.27000, 1.26409
0.41000, 0.27000, 1.06264
0.43000, 0.27000, 0.84440
0.45000, 0.27000, 0.61283
0.47000, 0.27000, 0.37157
0.49000, 0.27000, 0.12450
0.51000, 0.27000, -0.12450
0.53000, 0.27000, -0.37157
0.55000, 0.27000, -0.61283
0.57000, 0.27000, -0.84440
0.59000, 0.27000, -1.06264
0.61000, 0.27000, -1.26409
0.63000, 0.27000, -1.44561
0.65000, 0.27000, -1.60437
0.67000, 0.27000, -1.73784
0.69000, 0.27000, -1.84387
0.71000, 0.27000, -1.92082
0.73000, 0.27000, -1.96747
0.75000, 0.27000, -1.98309
0.77000, 0.27000, -1.96741
0.79000, 0.27000, -1.92071
0.81000, 0.27000, -1.84378
0.83000, 0.27000, -1.73776
0.85000, 0.27000, -1.60428
0.87000, 0.27000, -1.44547
0.89000, 0.27000, -1.26387
0.91000, 0.27000, -1.06233
0.93000, 0.27000, -0.84404
0.95000, 0.27000, -0.61248
0.97000, 0.27000, -0.37130
0.99000, 0.27000, -0.12417
1.00000, 0.27000, -0.00000
0.00000, 0.29000, 0.00000
0.01000, 0.29000, 0.12122
0.03000, 0.29000, 0.36249
0.05000, 0.29000, 0.59795
0.07000, 0.29000, 0.82402
0.09000, 0.29000, 1.03714
0.11000, 0.29000, 1.23390
0.13000, 0.29000, 1.41120
0.15000, 0.29000, 1.56624
0.17000, 0.29000, 1.69655
0.19000, 0.29000, 1.80006
0.21000, 0.29000, 1.87517
0.23000, 0.29000, 1.92076
0.25000, 0.29000, 1.93607
0.27000, 0.29000, 1.92082
0.29000, 0.29000, 1.87527
0.31000, 0.29000, 1.80015
0.33000, 0.29000, 1.69663
0.35000, 0.29000, 1.56632
0.37000, 0.29000, 1.41133
0.39000, 0.29000, 1.23412
0.41000, 0.29000, 1.03744
0.43000, 0.29000, 0.82438
0.45000, 0.29000, 0.59829
0.47000, 0.29000, 0.36276
0.49000, 0.29000, 0.12154
0.51000, 0.29000, -0.12154
0.53000, 0.29000, -0.36276
0.55000, 0.29000, -0.59829
0.57000, 0.29000, -0.82438
0.59000, 0.29000, -1.03744
0.61000, 0.29000, -1.23412
0.63000, 0.29000, -1.41133
0.65000, 0.29000, -1.56632
0.67000, 0.29000, -1.69663
0.69000, 0.29000, -1.80015
0.71000, 0.29000, -1.87527
0.73000, 0.29000, -1.92082
0.75000, 0.29000, -1.93607
0.77000, 0.29000, -1.92076
